Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,isim_temiz_x,isim_temiz_fuzzy,isim_temiz_y,Piyasa_Degeri
368,Ernest Muçi,alÂ ALB,"MF,FW",Trabzonspor,25-045,2001,25,20,"1,72",19.Oca,10,3,13,8,2,2,3,0,0.52,0.16,0.68,0.42,0.58,Matches,ernest muci,ernest muci,ernest muci,11.00 mil. €
370,Nihad Mujakić,baÂ BIH,DF,Gaziantep FK,28-018,1998,10,8,767,8.May,0,0,0,0,0,0,0,0,0.0,0.0,0.00,0.00,0.00,Matches,nihad mujakic,nihad mujakic,nihad mujakic,1.20 mil. €
371,Nihad Mujakić,baÂ BIH,DF,Eyüpspor,28-018,1998,16,15,"1,349",15.0,0,1,1,0,0,0,4,0,0.0,0.07,0.07,0.00,0.07,Matches,nihad mujakic,nihad mujakic,nihad mujakic,1.20 mil. €
373,Mert Müldür,trÂ TUR,DF,Fenerbahçe,27-030,1999,22,10,"1,132",12.Haz,1,1,2,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16,Matches,mert muldur,mert muldur,mert muldur,7.00 mil. €
374,Jackson Muleka,cdÂ COD,"MF,FW",Konyaspor,26-211,1999,28,24,"2,142",23.AÄu,6,3,9,5,1,1,4,0,0.25,0.13,0.38,0.21,0.34,Matches,jackson muleka,jackson muleka,jackson muleka,2.50 mil. €
375,Anthony Musaba,nlÂ NED,MF,Samsunspor,25-148,2000,15,14,"1,168",13.0,4,2,6,4,0,0,3,0,0.31,0.15,0.46,0.31,0.46,Matches,anthony musaba,anthony musaba,anthony musaba,6.00 mil. €
376,Anthony Musaba,nlÂ NED,MF,Fenerbahçe,25-148,2000,15,8,685,7.Haz,1,3,4,1,0,0,0,0,0.13,0.39,0.53,0.13,0.53,Matches,anthony musaba,anthony musaba,anthony musaba,6.00 mil. €
379,Umut Nayir,trÂ TUR,FW,Trabzonspor,32-309,1993,11,1,216,2.Nis,1,1,2,1,0,0,1,0,0.42,0.42,0.83,0.42,0.83,Matches,umut nayir,umut nayir,umut nayir,700 bin €
380,Umut Nayir,trÂ TUR,FW,Konyaspor,32-309,1993,19,19,"1,667",18.May,8,1,9,7,1,1,1,0,0.43,0.05,0.49,0.38,0.43,Matches,umut nayir,umut nayir,umut nayir,700 bin €
383,Cherif Ndiaye,snÂ SEN,"FW,MF",Samsunspor,30-100,1996,22,15,"1,33",14.AÄu,7,1,8,7,0,0,4,1,0.47,0.07,0.54,0.47,0.54,Matches,cherif ndiaye,cherif ndiaye,cherif ndiaye,5.00 mil. €
384,Wilfred Ndidi,ngÂ NGA,MF,Beşiktaş,29-138,1996,24,22,"1,951",21.Tem,2,0,2,2,0,0,4,0,0.09,0.0,0.09,0.09,0.09,Matches,wilfred ndidi,wilfred ndidi,wilfred ndidi,10.00 mil. €
386,M'Baye Niang,snÂ SEN,FW,Gençlerbirliği,31-135,1994,25,19,"1,725",19.Åub,4,2,6,2,2,2,6,0,0.21,0.1,0.31,0.10,0.21,Matches,m'baye niang,m'baye niang,m'baye niang,800 bin €
388,Joseph Nonge,beÂ BEL,"MF,FW",Kocaelispor,20-353,2005,22,12,"1,041",11.Haz,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,joseph nonge,joseph nonge,joseph nonge,1.50 mil. €
389,Olivier Ntcham,cmÂ CMR,MF,Samsunspor,30-083,1996,23,19,"1,54",17.Oca,2,1,3,1,1,2,3,0,0.12,0.06,0.18,0.06,0.12,Matches,olivier ntcham,olivier ntcham,olivier ntcham,2.80 mil. €
390,Chibuike Nwaiwu,ngÂ NGA,DF,Trabzonspor,22-284,2003,15,14,"1,219",13.May,3,1,4,3,0,0,0,0,0.22,0.07,0.30,0.22,0.30,Matches,chibuike nwaiwu,chibuike nwaiwu,chibuike nwaiwu,7.00 mil. €
391,Anthony Nwakaeme,ngÂ NGA,MF,Trabzonspor,37-043,1989,13,5,490,5.Nis,0,2,2,0,0,0,1,0,0.0,0.37,0.37,0.00,0.37,Matches,anthony nwakaeme,anthony nwakaeme,anthony nwakaeme,200 bin €
394,Ahmet Oğuz,trÂ TUR,DF,Kocaelispor,33-107,1993,25,22,"1,992",22.Oca,0,2,2,0,0,0,8,0,0.0,0.09,0.09,0.00,0.09,Matches,ahmet oguz,ahmet oguz,ahmet oguz,400 bin €
395,Kazeem Olaigbe,beÂ BEL,MF,Konyaspor,23-121,2003,12,11,854,9.May,0,0,0,0,0,0,1,0,0.0,0.0,0.00,0.00,0.00,Matches,kazeem olaigbe,kazeem olaigbe,kazeem olaigbe,4.00 mil. €
396,Kazeem Olaigbe,beÂ BEL,MF,Trabzonspor,23-121,2003,18,14,"1,086",12.Oca,0,1,1,0,0,0,0,0,0.0,0.08,0.08,0.00,0.08,Matches,kazeem olaigbe,kazeem olaigbe,kazeem olaigbe,4.00 mil. €
397,Junior Olaitan,bjÂ BEN,MF,Beşiktaş,23-359,2002,12,12,"1,057",11.Tem,2,1,3,2,0,0,1,0,0.17,0.09,0.26,0.17,0.26,Matches,junior olaitan,junior olaitan,junior olaitan,5.00 mil. €
398,Junior Olaitan,bjÂ BEN,MF,Göztepe,23-359,2002,17,10,904,10.0,2,0,2,2,0,0,1,0,0.2,0.0,0.20,0.20,0.20,Matches,junior olaitan,junior olaitan,junior olaitan,5.00 mil. €
399,Ibrahim Olawoyin,ngÂ NGA,MF,Rizespor,28-153,1997,26,23,"1,92",21.Mar,1,1,2,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,Matches,ibrahim olawoyin,ibrahim olawoyin,ibrahim olawoyin,2.20 mil. €
400,Abdülkadir Ömür,trÂ TUR,MF,Antalyaspor,26-312,1999,23,15,"1,155",12.AÄu,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.00,0.08,Matches,abdulkadir omur,abdulkadir omur,abdulkadir omur,2.20 mil. €
401,André Onana,cmÂ CMR,GK,Trabzonspor,30-031,1996,28,28,"2,52",28.0,0,1,1,0,0,0,3,0,0.0,0.04,0.04,0.00,0.04,Matches,andre onana,andre onana,andre onana,12.00 mil. €
402,Jérôme Onguéné,cmÂ CMR,DF,Eyüpspor,28-132,1997,11,9,761,8.May,0,2,2,0,0,0,3,0,0.0,0.24,0.24,0.00,0.24,Matches,jerome onguene,jerome onguene,jerome onguene,250 bin €
403,Paul Onuachu,ngÂ NGA,FW,Trabzonspor,31-340,1994,28,27,"2,414",26.AÄu,22,2,24,16,6,7,6,0,0.82,0.07,0.89,0.60,0.67,Matches,paul onuachu,paul onuachu,paul onuachu,6.00 mil. €
404,German Onugkha,ruÂ RUS,FW,Kayserispor,29-301,1996,26,20,"1,844",20.May,8,1,9,8,0,0,3,0,0.39,0.05,0.44,0.39,0.44,Matches,german onugkha,german onugkha,german onugkha,1.80 mil. €
405,Samed Onur,trÂ TUR,MF,Gençlerbirliği,23-292,2002,24,3,542,6.0,0,1,1,0,0,0,3,0,0.0,0.17,0.17,0.00,0.17,Matches,samed onur,samed onur,samed onur,500 bin €
406,Henry Onyekuru,ngÂ NGA,MF,Gençlerbirliği,28-332,1997,17,3,311,3.May,0,0,0,0,0,1,1,0,0.0,0.0,0.00,0.00,0.00,Matches,henry onyekuru,henry onyekuru,henry onyekuru,1.50 mil. €
407,Jayden Oosterwolde,nlÂ NED,DF,Fenerbahçe,25-007,2001,29,28,"2,489",27.Tem,0,0,0,0,0,0,12,1,0.0,0.0,0.00,0.00,0.00,Matches,jayden oosterwolde,jayden oosterwolde,jayden oosterwolde,18.00 mil. €
408,Christopher Operi,ciÂ CIV,DF,Başakşehir,29-004,1997,22,22,"1,821",20.Åub,0,4,4,0,0,0,3,0,0.0,0.2,0.20,0.00,0.20,Matches,christopher operi,christopher operi,christopher operi,4.00 mil. €
